Invoice ID,Customer type,Gender,Product line,Unit price,Quantity,Total
109-28-2512,Member,Female,Fashion accessories,97.61,6,614.94
232-11-3025,Normal,Male,Sports and travel,78.77,10,827.09
382-03-4532,Member,Female,Health and beauty,18.33,1,19.25
393-65-2792,Normal,Male,Food and beverages,89.48,10,939.54
796-12-2025,Normal,Male,Fashion accessories,62.12,10,652.26
510-95-6347,Member,Female,Food and beverages,48.52,3,152.84
841-35-6630,Normal,Female,Electronic accessories,75.91,6,478.23
287-21-9091,Normal,Male,Home and lifestyle,74.67,9,705.63
732-94-0499,Normal,Female,Electronic accessories,41.65,10,437.33
263-10-3913,Member,Male,Fashion accessories,49.04,9,463.43
381-20-0914,Member,Female,Fashion accessories,20.01,9,189.09
829-49-1914,Member,Female,Food and beverages,78.31,10,822.26
756-01-7507,Normal,Female,Health and beauty,20.38,5,107.00
870-72-4431,Normal,Female,Health and beauty,99.19,6,624.90
847-38-7188,Normal,Female,Food and beverages,96.68,3,304.54
480-63-2856,Normal,Male,Food and beverages,19.25,8,161.70
787-56-0757,Member,Female,Food and beverages,80.36,4,337.51
360-39-5055,Member,Male,Sports and travel,48.91,5,256.78
730-50-9884,Normal,Female,Sports and travel,83.06,7,610.49
362-58-8315,Normal,Male,Fashion accessories,76.52,5,401.73
633-44-8566,Member,Male,Food and beverages,49.38,7,362.94
504-35-8843,Normal,Male,Sports and travel,42.47,1,44.59
318-68-5053,Normal,Female,Health and beauty,76.99,6,485.04
565-80-5980,Member,Female,Home and lifestyle,47.38,4,199.00
225-32-0908,Normal,Female,Sports and travel,44.86,10,471.03
873-51-0671,Member,Female,Sports and travel,21.98,7,161.55
152-08-9985,Member,Male,Health and beauty,64.36,9,608.20
512-91-0811,Normal,Male,Health and beauty,89.75,1,94.24
594-34-4444,Normal,Male,Electronic accessories,97.16,1,102.02
766-85-7061,Normal,Male,Health and beauty,87.87,10,922.64
871-39-9221,Normal,Female,Electronic accessories,12.45,6,78.44
865-92-6136,Normal,Male,Food and beverages,52.75,3,166.16
733-01-9107,Normal,Male,Home and lifestyle,82.70,6,521.01
163-56-7055,Member,Male,Fashion accessories,48.71,1,51.15
189-98-2939,Normal,Male,Fashion accessories,78.55,9,742.30
551-21-3069,Normal,Female,Electronic accessories,23.07,9,218.01
212-62-1842,Normal,Male,Food and beverages,58.26,6,367.04
716-39-1409,Normal,Male,Health and beauty,30.35,7,223.07
704-48-3927,Member,Male,Electronic accessories,88.67,10,931.04
628-34-3388,Normal,Male,Fashion accessories,27.38,6,172.49
630-74-5166,Normal,Male,Sports and travel,62.13,6,391.42
588-01-7461,Normal,Female,Food and beverages,33.98,9,321.11
861-77-0145,Member,Male,Electronic accessories,81.97,10,860.69
479-26-8945,Member,Female,Sports and travel,16.49,2,34.63
210-67-5886,Member,Female,Health and beauty,98.21,3,309.36
227-78-1148,Normal,Female,Fashion accessories,72.84,7,535.37
645-44-1170,Member,Male,Home and lifestyle,58.07,9,548.76
237-01-6122,Member,Female,Home and lifestyle,80.79,9,763.47
225-98-1496,Normal,Female,Fashion accessories,27.02,3,85.11
291-32-1427,Member,Male,Fashion accessories,21.94,5,115.19
659-65-8956,Member,Male,Fashion accessories,51.36,1,53.93
642-32-2990,Normal,Female,Food and beverages,10.96,10,115.08
378-24-2715,Normal,Male,Home and lifestyle,53.44,2,112.22
638-60-7125,Normal,Female,Electronic accessories,99.56,8,836.30
659-36-1684,Member,Male,Sports and travel,57.12,7,419.83
219-22-9386,Member,Male,Sports and travel,99.96,9,944.62
336-78-2147,Member,Male,Home and lifestyle,63.91,8,536.84
268-27-6179,Member,Female,Fashion accessories,56.47,8,474.35
668-90-8900,Normal,Female,Home and lifestyle,93.69,7,688.62
870-54-3162,Normal,Female,Sports and travel,32.25,5,169.31
189-08-9157,Normal,Female,Fashion accessories,31.73,9,299.85
663-86-9076,Member,Female,Food and beverages,68.54,8,575.74
549-84-7482,Normal,Female,Sports and travel,90.28,9,853.15
191-10-6171,Normal,Female,Fashion accessories,39.62,7,291.21
802-70-5316,Member,Female,Sports and travel,92.13,6,580.42
695-51-0018,Normal,Female,Sports and travel,34.84,4,146.33
590-83-4591,Member,Male,Electronic accessories,87.45,6,550.94
483-71-1164,Normal,Female,Health and beauty,81.30,6,512.19
597-78-7908,Normal,Male,Fashion accessories,90.22,3,284.19
700-81-1757,Normal,Female,Electronic accessories,26.31,5,138.13
354-39-5160,Member,Female,Home and lifestyle,34.42,6,216.85
241-72-9525,Normal,Male,Sports and travel,51.91,10,545.06
575-30-8091,Normal,Male,Sports and travel,72.50,8,609.00
731-81-9469,Member,Female,Sports and travel,89.80,10,942.90
280-17-4359,Member,Male,Health and beauty,90.50,10,950.25
338-65-2210,Member,Female,Health and beauty,68.60,10,720.30
488-25-4221,Member,Female,Food and beverages,30.41,1,31.93
239-10-7476,Normal,Female,Home and lifestyle,77.95,6,491.09
458-41-1477,Normal,Female,Health and beauty,46.26,6,291.44
685-64-1609,Member,Female,Fashion accessories,30.14,10,316.47
568-90-5112,Normal,Male,Health and beauty,66.14,4,277.79
262-47-2794,Member,Male,Home and lifestyle,71.86,8,603.62
238-49-0436,Normal,Male,Health and beauty,32.46,8,272.66
608-96-3517,Member,Female,Fashion accessories,91.54,4,384.47
584-86-7256,Member,Male,Sports and travel,34.56,7,254.02
746-94-0204,Normal,Male,Fashion accessories,83.24,9,786.62
214-17-6927,Normal,Female,Food and beverages,16.48,6,103.82
400-89-4171,Normal,Female,Sports and travel,80.97,8,680.15
782-95-9291,Member,Male,Food and beverages,92.29,5,484.52
279-74-2924,Member,Male,Electronic accessories,72.17,1,75.78
307-85-2293,Normal,Male,Home and lifestyle,50.28,5,263.97
743-04-1105,Member,Male,Health and beauty,97.22,9,918.73
423-57-2993,Normal,Male,Sports and travel,93.39,6,588.36
894-41-5205,Normal,Female,Food and beverages,43.18,8,362.71
275-28-0149,Normal,Male,Sports and travel,63.69,1,66.87
101-17-6199,Normal,Male,Food and beverages,45.79,7,336.56
423-80-0988,Normal,Male,Sports and travel,76.40,2,160.44
548-46-9322,Normal,Male,Food and beverages,39.90,10,418.95
505-02-0892,Member,Male,Health and beauty,42.57,8,357.59
234-65-2137,Normal,Male,Home and lifestyle,95.58,10,1003.59
687-47-8271,Normal,Male,Fashion accessories,98.98,10,1039.29
796-32-9050,Normal,Male,Food and beverages,51.28,6,323.06
105-31-1824,Member,Male,Sports and travel,69.52,7,510.97
249-42-3782,Normal,Male,Health and beauty,70.01,5,367.55
316-55-4634,Member,Male,Food and beverages,80.05,5,420.26
733-33-4967,Normal,Male,Electronic accessories,20.85,8,175.14
608-27-6295,Member,Male,Electronic accessories,52.89,6,333.21
414-12-7047,Normal,Male,Food and beverages,19.79,8,166.24
827-26-2100,Member,Male,Home and lifestyle,33.84,9,319.79
175-54-2529,Member,Male,Food and beverages,22.17,8,186.23
139-52-2867,Normal,Female,Fashion accessories,22.51,7,165.45
407-63-8975,Normal,Male,Food and beverages,73.88,6,465.44
342-65-4817,Member,Male,Health and beauty,86.80,3,273.42
130-98-8941,Normal,Male,Fashion accessories,64.26,7,472.31
434-83-9547,Member,Male,Food and beverages,38.47,8,323.15
851-28-6367,Member,Male,Sports and travel,15.50,10,162.75
824-88-3614,Normal,Male,Health and beauty,34.31,8,288.20
586-25-0848,Normal,Female,Sports and travel,12.34,7,90.70
895-66-0685,Member,Male,Food and beverages,18.08,3,56.95
305-14-0245,Member,Female,Home and lifestyle,94.49,8,793.72
732-04-5373,Member,Male,Home and lifestyle,46.47,4,195.17
400-60-7251,Normal,Male,Home and lifestyle,74.07,1,77.77
593-65-1552,Normal,Female,Home and lifestyle,69.81,4,293.20
284-34-9626,Normal,Female,Home and lifestyle,77.04,3,242.68
437-58-8131,Normal,Female,Fashion accessories,73.52,2,154.39
286-43-6208,Normal,Female,Food and beverages,87.80,9,829.71
641-43-2399,Normal,Male,Home and lifestyle,25.55,4,107.31
831-07-6050,Normal,Male,Electronic accessories,32.71,5,171.73
556-86-3144,Member,Female,Fashion accessories,74.29,1,78.00
848-24-9445,Member,Male,Health and beauty,43.70,2,91.77
856-22-8149,Normal,Female,Home and lifestyle,25.29,1,26.55
699-01-4164,Normal,Male,Health and beauty,41.50,4,174.30
420-11-4919,Member,Female,Food and beverages,71.39,5,374.80
606-80-4905,Member,Female,Sports and travel,19.15,6,120.65
542-41-0513,Member,Female,Electronic accessories,57.49,4,241.46
426-39-2418,Normal,Male,Electronic accessories,61.41,7,451.36
875-46-5808,Member,Male,Health and beauty,25.90,10,271.95
394-43-4238,Member,Male,Home and lifestyle,17.77,5,93.29
749-24-1565,Normal,Female,Health and beauty,23.03,9,217.63
672-51-8681,Member,Female,Electronic accessories,66.65,9,629.84
263-87-5680,Member,Female,Home and lifestyle,28.53,10,299.57
573-58-9734,Normal,Female,Fashion accessories,30.37,3,95.67
817-69-8206,Normal,Female,Electronic accessories,99.73,9,942.45
888-02-0338,Normal,Male,Electronic accessories,26.23,9,247.87
677-11-0152,Normal,Female,Food and beverages,93.26,9,881.31
142-63-6033,Normal,Male,Home and lifestyle,92.36,5,484.89
656-16-1063,Normal,Male,Sports and travel,46.42,3,146.22
891-58-8335,Member,Female,Sports and travel,29.61,7,217.63
802-43-8934,Normal,Male,Home and lifestyle,18.28,1,19.19
560-30-5617,Normal,Female,Sports and travel,24.77,5,130.04
319-74-2561,Member,Female,Electronic accessories,94.64,3,298.12
549-03-9315,Normal,Male,Fashion accessories,94.87,8,796.91
790-29-1172,Normal,Female,Food and beverages,57.34,3,180.62
239-36-3640,Normal,Male,Electronic accessories,45.35,6,285.71
468-01-2051,Normal,Male,Food and beverages,62.08,7,456.29
389-25-3394,Normal,Male,Electronic accessories,11.81,5,62.00
279-62-1445,Member,Female,Fashion accessories,12.54,1,13.17
213-72-6612,Normal,Male,Food and beverages,43.25,2,90.83
746-68-6593,Member,Female,Sports and travel,87.16,2,183.04
836-82-5858,Member,Male,Health and beauty,69.37,9,655.55
583-72-1480,Member,Male,Electronic accessories,37.06,4,155.65
466-61-5506,Member,Female,Electronic accessories,90.70,6,571.41
721-86-6247,Normal,Female,Home and lifestyle,63.42,8,532.73
289-65-5721,Normal,Female,Fashion accessories,81.37,2,170.88
545-46-3100,Member,Female,Electronic accessories,10.59,3,33.36
418-02-5978,Normal,Female,Health and beauty,84.09,9,794.65
269-04-5750,Member,Male,Fashion accessories,73.82,4,310.04
157-13-5295,Member,Male,Health and beauty,51.94,10,545.37
645-78-8093,Normal,Female,Sports and travel,93.14,2,195.59
211-30-9270,Normal,Male,Health and beauty,17.41,5,91.40
755-12-3214,Member,Female,Fashion accessories,44.22,5,232.16
346-84-3103,Member,Female,Electronic accessories,13.22,5,69.41
478-06-7835,Normal,Male,Fashion accessories,89.69,1,94.17
540-11-4336,Normal,Male,Food and beverages,24.94,9,235.68
448-81-5016,Normal,Male,Health and beauty,59.77,2,125.52
142-72-4741,Member,Male,Fashion accessories,93.20,2,195.72
217-58-1179,Member,Male,Home and lifestyle,62.65,4,263.13
376-02-8238,Normal,Male,Home and lifestyle,93.87,8,788.51
530-90-9855,Member,Male,Home and lifestyle,47.59,8,399.76
866-05-7563,Member,Female,Electronic accessories,81.40,3,256.41
604-70-6476,Member,Male,Fashion accessories,17.94,5,94.19
799-71-1548,Member,Male,Electronic accessories,77.72,4,326.42
785-13-7708,Normal,Male,Food and beverages,73.06,7,536.99
845-51-0542,Member,Male,Food and beverages,46.55,9,439.90
662-47-5456,Member,Male,Fashion accessories,35.19,10,369.50
883-17-4236,Normal,Female,Sports and travel,14.39,2,30.22
290-68-2984,Normal,Male,Home and lifestyle,23.75,4,99.75
704-11-6354,Member,Male,Home and lifestyle,58.90,8,494.76
110-48-7033,Member,Male,Fashion accessories,32.62,4,137.00
366-93-0948,Member,Male,Electronic accessories,66.35,1,69.67
729-09-9681,Member,Male,Home and lifestyle,25.91,6,163.23
151-16-1484,Member,Male,Electronic accessories,32.25,4,135.45
380-94-4661,Member,Male,Electronic accessories,65.94,4,276.95
850-41-9669,Normal,Female,Electronic accessories,75.06,9,709.32
821-07-3596,Normal,Female,Fashion accessories,16.45,4,69.09
655-85-5130,Member,Female,Fashion accessories,38.30,4,160.86
447-15-7839,Member,Female,Sports and travel,22.24,10,233.52
154-74-7179,Normal,Male,Sports and travel,54.45,1,57.17
253-12-6086,Member,Female,Sports and travel,98.40,7,723.24
808-65-0703,Normal,Male,Home and lifestyle,35.47,4,148.97
571-94-0759,Member,Female,Food and beverages,74.60,10,783.30
144-51-6085,Member,Male,Home and lifestyle,70.74,4,297.11
731-14-2199,Member,Female,Home and lifestyle,35.54,10,373.17
783-09-1637,Normal,Female,Sports and travel,67.43,5,354.01
687-15-1097,Member,Female,Health and beauty,21.12,2,44.35
126-54-1082,Member,Female,Home and lifestyle,21.54,9,203.55
633-91-1052,Normal,Female,Home and lifestyle,12.03,2,25.26
477-24-6490,Normal,Female,Health and beauty,99.71,6,628.17
566-19-5475,Normal,Male,Fashion accessories,47.97,7,352.58
526-86-8552,Member,Female,Home and lifestyle,21.82,10,229.11
376-56-3573,Normal,Female,Fashion accessories,95.42,4,400.76
537-72-0426,Member,Male,Fashion accessories,70.99,10,745.40
828-61-5674,Member,Male,Sports and travel,44.02,10,462.21
136-08-6195,Normal,Female,Home and lifestyle,69.96,8,587.66
523-38-0215,Normal,Male,Home and lifestyle,37.00,1,38.85
490-29-1201,Normal,Female,Sports and travel,15.34,1,16.11
667-92-0055,Member,Male,Health and beauty,99.83,6,628.93
565-17-3836,Member,Female,Health and beauty,47.67,4,200.21
498-41-1961,Normal,Male,Health and beauty,66.68,5,350.07
593-95-4461,Member,Male,Home and lifestyle,74.86,1,78.60
226-71-3580,Normal,Female,Sports and travel,23.75,9,224.44
283-79-9594,Normal,Female,Food and beverages,48.51,7,356.55
430-60-3493,Member,Female,Home and lifestyle,94.88,7,697.37
139-20-0155,Member,Male,Electronic accessories,40.30,10,423.15
558-80-4082,Normal,Male,Electronic accessories,27.85,7,204.70
278-97-7759,Member,Female,Electronic accessories,62.48,1,65.60
316-68-6352,Member,Female,Food and beverages,36.36,2,76.36
585-03-5943,Normal,Male,Health and beauty,18.11,10,190.16
211-05-0490,Member,Female,Electronic accessories,51.92,5,272.58
727-75-6477,Normal,Male,Electronic accessories,28.84,4,121.13
744-02-5987,Member,Male,Home and lifestyle,78.38,6,493.79
307-83-9164,Member,Male,Home and lifestyle,60.01,4,252.04
779-06-0012,Member,Female,Home and lifestyle,88.61,1,93.04
446-47-6729,Normal,Male,Fashion accessories,99.82,2,209.62
573-10-3877,Member,Male,Health and beauty,39.01,1,40.96
735-06-4124,Normal,Male,Food and beverages,48.61,1,51.04
439-54-7422,Normal,Female,Electronic accessories,51.19,4,215.00
396-90-2219,Normal,Female,Electronic accessories,14.96,8,125.66
411-77-0180,Member,Male,Electronic accessories,72.20,7,530.67
286-01-5402,Normal,Female,Sports and travel,40.23,7,295.69
803-17-8013,Member,Female,Home and lifestyle,88.79,8,745.84
512-98-1403,Member,Female,Electronic accessories,26.48,3,83.41
848-42-2560,Normal,Female,Fashion accessories,81.91,2,172.01
532-59-7201,Member,Male,Sports and travel,79.93,6,503.56
181-94-6432,Member,Male,Fashion accessories,69.33,2,145.59
870-76-1733,Member,Female,Food and beverages,14.23,5,74.71
423-64-4619,Member,Female,Health and beauty,15.55,9,146.95
227-07-4446,Member,Female,Electronic accessories,78.13,10,820.37
174-36-3675,Member,Male,Food and beverages,99.37,2,208.68
428-83-5800,Member,Female,Food and beverages,21.08,3,66.40
603-07-0961,Member,Male,Electronic accessories,74.79,5,392.65
704-20-4138,Member,Female,Health and beauty,29.67,7,218.07
787-15-1757,Member,Male,Health and beauty,44.07,4,185.09
649-11-3678,Normal,Female,Food and beverages,22.93,9,216.69
622-20-1945,Normal,Female,Health and beauty,39.42,1,41.39
372-94-8041,Normal,Male,Health and beauty,15.26,6,96.14
563-91-7120,Normal,Female,Fashion accessories,61.77,5,324.29
746-54-5508,Normal,Male,Home and lifestyle,21.52,6,135.58
276-54-0879,Normal,Male,Sports and travel,97.74,4,410.51
815-11-1168,Member,Male,Food and beverages,99.78,5,523.85
719-76-3868,Member,Male,Food and beverages,94.26,4,395.89
730-61-8757,Member,Male,Health and beauty,51.13,4,214.75
340-66-0321,Member,Male,Electronic accessories,36.36,4,152.71
868-81-1752,Normal,Male,Home and lifestyle,22.02,9,208.09
634-97-8956,Normal,Male,Food and beverages,32.90,3,103.64
566-71-1091,Normal,Male,Fashion accessories,77.02,5,404.36
442-48-3607,Member,Male,Food and beverages,23.48,2,49.31
835-16-0096,Member,Male,Sports and travel,14.70,5,77.18
527-09-6272,Member,Female,Electronic accessories,28.45,5,149.36
898-04-2717,Normal,Male,Fashion accessories,76.40,9,721.98
692-27-8933,Normal,Female,Sports and travel,57.95,6,365.09
633-09-3463,Normal,Female,Electronic accessories,47.65,3,150.10
374-17-3652,Member,Female,Food and beverages,42.82,9,404.65
378-07-7001,Member,Male,Electronic accessories,48.09,3,151.48
433-75-6987,Member,Female,Health and beauty,55.97,7,411.38
873-95-4984,Member,Female,Health and beauty,76.90,7,565.22
416-13-5917,Normal,Female,Food and beverages,97.03,5,509.41
150-89-8043,Normal,Male,Sports and travel,44.65,3,140.65
135-84-8019,Normal,Female,Fashion accessories,77.93,9,736.44
441-94-7118,Member,Male,Electronic accessories,71.95,1,75.55
725-96-3778,Member,Female,Home and lifestyle,89.25,8,749.70
531-80-1784,Normal,Male,Electronic accessories,26.02,7,191.25
400-45-1220,Normal,Female,Health and beauty,13.50,10,141.75
860-79-0874,Member,Female,Fashion accessories,99.30,10,1042.65
834-61-8124,Normal,Male,Electronic accessories,51.69,7,379.92
115-99-4379,Member,Female,Fashion accessories,54.73,7,402.27
565-67-6697,Member,Male,Home and lifestyle,27.00,9,255.15
320-49-6392,Normal,Female,Electronic accessories,30.24,1,31.75
889-04-9723,Member,Female,Food and beverages,89.14,4,374.39
632-90-0281,Normal,Female,Fashion accessories,37.55,10,394.28
554-42-2417,Normal,Female,Sports and travel,95.44,10,1002.12
453-63-6187,Normal,Male,Electronic accessories,27.50,3,86.63
578-80-7669,Normal,Male,Sports and travel,74.97,1,78.72
612-36-5536,Member,Male,Food and beverages,80.96,8,680.06
605-72-4132,Normal,Female,Food and beverages,94.47,8,793.55
471-41-2823,Normal,Male,Food and beverages,99.79,2,209.56
462-67-9126,Normal,Male,Home and lifestyle,73.22,6,461.29
272-27-9238,Normal,Female,Food and beverages,41.24,4,173.21
834-25-9262,Normal,Female,Fashion accessories,81.68,4,343.06
122-61-9553,Normal,Female,Electronic accessories,51.32,9,484.97
468-88-0009,Member,Male,Home and lifestyle,65.94,4,276.95
613-59-9758,Normal,Female,Sports and travel,14.36,10,150.78
254-31-0042,Member,Male,Electronic accessories,21.50,9,203.18
201-86-2184,Member,Female,Electronic accessories,26.26,7,193.01
261-12-8671,Normal,Female,Fashion accessories,60.96,2,128.02
730-70-9830,Normal,Female,Home and lifestyle,70.11,6,441.69
382-25-8917,Normal,Male,Fashion accessories,42.08,6,265.10
422-29-8786,Normal,Female,Home and lifestyle,67.09,5,352.22
667-23-5919,Member,Female,Fashion accessories,96.70,5,507.68
843-01-4703,Member,Female,Home and lifestyle,35.38,9,334.34
743-88-1662,Normal,Male,Sports and travel,95.49,7,701.85
595-86-2894,Member,Male,Fashion accessories,96.98,4,407.32
182-69-8360,Normal,Female,Electronic accessories,23.65,4,99.33
289-15-7034,Member,Male,Sports and travel,82.33,4,345.79
462-78-5240,Normal,Female,Electronic accessories,26.61,2,55.88
868-52-7573,Normal,Female,Food and beverages,99.69,5,523.37
153-58-4872,Member,Female,Food and beverages,74.89,4,314.54
662-72-2873,Normal,Female,Food and beverages,40.94,5,214.94
525-88-7307,Member,Male,Sports and travel,75.82,1,79.61
689-16-9784,Normal,Male,Food and beverages,46.77,6,294.65
725-56-0833,Normal,Female,Health and beauty,32.32,10,339.36
394-41-0748,Member,Female,Fashion accessories,54.07,9,510.96
596-42-3999,Normal,Male,Food and beverages,18.22,7,133.92
541-89-9860,Member,Female,Fashion accessories,80.48,3,253.51
173-82-9529,Normal,Female,Fashion accessories,37.95,10,398.48
563-36-9814,Member,Male,Electronic accessories,76.82,1,80.66
308-47-4913,Member,Female,Sports and travel,52.26,10,548.73
885-17-6250,Normal,Female,Health and beauty,79.74,1,83.73
726-27-2396,Normal,Female,Health and beauty,77.50,5,406.88
316-01-3952,Normal,Female,Food and beverages,54.27,5,284.92
760-54-1821,Normal,Male,Home and lifestyle,13.59,9,128.43
793-10-3222,Member,Female,Health and beauty,41.06,6,258.68
346-12-3257,Member,Male,Electronic accessories,19.24,9,181.82
110-05-6330,Normal,Female,Food and beverages,39.43,6,248.41
651-61-0874,Normal,Male,Home and lifestyle,46.22,4,194.12
236-86-3015,Member,Male,Home and lifestyle,13.98,1,14.68
831-64-0259,Normal,Female,Fashion accessories,39.75,5,208.69
587-03-7455,Member,Female,Fashion accessories,97.79,7,718.76
882-40-4577,Member,Male,Sports and travel,67.26,4,282.49
732-67-5346,Normal,Male,Food and beverages,13.79,5,72.40
725-32-9708,Member,Female,Fashion accessories,68.71,4,288.58
256-08-8343,Normal,Female,Home and lifestyle,56.53,4,237.43
372-26-1506,Normal,Female,Fashion accessories,23.82,5,125.06
244-08-0162,Normal,Female,Health and beauty,34.21,10,359.21
569-71-4390,Normal,Male,Sports and travel,21.87,2,45.93
132-23-6451,Member,Male,Health and beauty,20.97,5,110.09
696-90-2548,Normal,Male,Sports and travel,25.84,3,81.40
472-15-9636,Normal,Male,Home and lifestyle,50.93,8,427.81
268-03-6164,Normal,Male,Health and beauty,96.11,1,100.92
750-57-9686,Normal,Female,Home and lifestyle,45.38,4,190.60
186-09-3669,Member,Female,Health and beauty,81.51,1,85.59
848-07-1692,Normal,Female,Health and beauty,57.22,2,120.16
745-71-3520,Member,Female,Electronic accessories,25.22,7,185.37
266-76-6436,Member,Female,Food and beverages,38.60,3,121.59
740-22-2500,Normal,Female,Electronic accessories,84.05,3,264.76
271-88-8734,Member,Female,Fashion accessories,97.21,10,1020.71
301-81-8610,Member,Male,Fashion accessories,25.42,8,213.53
489-64-4354,Normal,Male,Fashion accessories,16.28,1,17.09
198-84-7132,Member,Male,Fashion accessories,40.61,9,383.76
269-10-8440,Member,Male,Health and beauty,53.17,7,390.80
650-98-6268,Member,Female,Food and beverages,20.87,3,65.74
741-73-3559,Normal,Male,Sports and travel,67.27,5,353.17
325-77-6186,Member,Female,Home and lifestyle,90.65,10,951.83
286-75-7818,Normal,Male,Fashion accessories,69.08,2,145.07
574-57-9721,Normal,Male,Food and beverages,43.27,2,90.87
459-50-7686,Normal,Female,Electronic accessories,23.46,6,147.80
616-87-0016,Normal,Male,Fashion accessories,95.54,7,702.22
837-55-7229,Normal,Female,Fashion accessories,47.44,1,49.81
751-69-0068,Normal,Male,Sports and travel,99.24,9,937.82
257-73-1380,Member,Male,Sports and travel,82.93,4,348.31
345-08-4992,Normal,Male,Home and lifestyle,33.99,6,214.14
549-96-4200,Member,Male,Food and beverages,17.04,4,71.57
810-60-6344,Normal,Female,Electronic accessories,40.86,8,343.22
450-28-2866,Member,Male,Food and beverages,17.44,5,91.56
394-30-3170,Member,Female,Sports and travel,88.43,8,742.81
138-17-5109,Member,Female,Home and lifestyle,89.21,9,843.03
192-98-7397,Normal,Male,Fashion accessories,12.78,1,13.42
301-11-9629,Normal,Female,Sports and travel,19.10,7,140.39
390-80-5128,Member,Female,Health and beauty,19.15,1,20.11
